7 21
0 1 57
0 5 56
1 1 170
2 1 69
2 2 60
2 4 117
3 0 181
3 3 76
3 5 18
3 6 150
4 0 84
4 1 70
4 3 77
4 5 143
5 1 34
5 2 197
5 5 85
6 0 132
6 2 155
6 4 184
6 5 74

14 1
1 5 73

3 2
1 0 87
2 2 32

15 18
0 2 199
2 12 52
3 4 10
3 6 9
3 7 10
4 12 170
6 1 113
6 11 107
7 6 136
8 10 169
11 9 35
12 0 127
12 6 75
13 0 147
13 12 77
13 13 194
14 0 119
14 1 148

16 19
1 9 46
1 15 54
2 0 140
4 0 39
4 1 61
4 6 177
5 14 154
6 5 145
6 6 54
7 4 185
8 7 178
8 11 190
11 4 87
12 12 2
13 0 139
13 10 53
14 0 161
15 3 20
15 7 121

